epoch,phase,train_loss,train_acc,val_loss,val_acc,lr
1,phase1,2.3600678752823128,0.12292358803986711,2.3299416335283127,0.09292035398230089,0.0003
2,phase1,2.2662336245459707,0.15282392026578073,2.270022976714953,0.13274336283185842,0.0003
3,phase1,2.2153296800678883,0.1937984496124031,2.2079010917022166,0.168141592920354,0.0003
4,phase1,2.193896852590449,0.21705426356589147,2.1757551526601335,0.24778761061946902,0.0003
5,phase1,2.1592299183077723,0.22591362126245848,2.163129606078156,0.2168141592920354,0.0003
6,phase1,2.141071008817434,0.23477297895902546,2.1168759312249916,0.26991150442477874,0.0003
7,phase1,2.107089408740385,0.2591362126245847,2.119572213265748,0.2610619469026549,0.0003
8,phase1,2.077278288891941,0.2912513842746401,2.1147534783962554,0.24336283185840707,0.0003
9,phase1,2.061994478684063,0.2768549280177187,2.1075824805065593,0.25663716814159293,0.0003
10,phase1,2.02927204131552,0.292358803986711,2.0814672212685106,0.26991150442477874,0.0003
11,phase1,2.020355613392717,0.28903654485049834,2.0687529407771286,0.27876106194690264,0.0003
12,phase1,2.003215197972945,0.3067552602436323,2.0582406837328344,0.3185840707964602,0.0003
13,phase1,1.977946742164468,0.3067552602436323,2.032191998135727,0.30973451327433627,0.0003
14,phase1,1.9707895385334526,0.3388704318936877,2.0281900789885396,0.26991150442477874,0.0003
15,phase1,1.9583986852388182,0.3222591362126246,2.0463130832773393,0.29646017699115046,0.0003
16,phase1,1.9381876517239862,0.3588039867109635,2.0163620868615344,0.28761061946902655,0.0003
17,phase1,1.9135289272728684,0.3444075304540421,2.019399522680097,0.27876106194690264,0.0003
18,phase1,1.9271434384459012,0.3377630121816168,2.0202838889265484,0.2831858407079646,0.0003
19,phase1,1.9111217321087488,0.34551495016611294,1.9879570344908049,0.2831858407079646,0.0003
20,phase1,1.9159050026077236,0.33665559246954596,1.9808736100661015,0.3230088495575221,0.0003
21,phase2,1.8704519714099888,0.3687707641196013,1.9086241279028158,0.3584070796460177,1e-05
22,phase2,1.8367510330373398,0.38205980066445183,1.9458641816029507,0.3230088495575221,1e-05
23,phase2,1.8030515985763482,0.3864894795127353,1.9403255703174962,0.3274336283185841,1e-05
24,phase2,1.7982394309799008,0.3953488372093023,1.9076113627020237,0.3495575221238938,1e-05
25,phase2,1.7539566732192224,0.4130675526024363,1.9150663445481158,0.34513274336283184,1e-05
26,phase2,1.745465459353636,0.4097452934662237,1.9006942204669512,0.37168141592920356,1e-05
27,phase2,1.7176943425984346,0.4152823920265781,1.8753417656484959,0.37610619469026546,1e-05
28,phase2,1.7060037879716783,0.4374307862679956,1.9120324881730881,0.336283185840708,1e-05
29,phase2,1.7053769406422163,0.42857142857142855,1.84919506575154,0.38495575221238937,1e-05
30,phase2,1.6627270549634763,0.4363233665559247,1.8010390975833994,0.38495575221238937,1e-05
